estimand,configuration,propensity,truncation_lower,truncation_upper,truncation,result_dir,result_subdir,N,tmax,n_iterations,n_missing,true_parameter,method,bias,rmse,coverage,interval_length
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Auto-RF,-0.042187806218862534,2.000098466873169,0.8659999966621399,2.9697928428649902
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Auto-NN,0.29244524240493774,0.436680406332016,0.6759999990463257,1.037065029144287
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Oracle,-0.019953330978751183,0.1886739879846573,0.949999988079071,0.7559812664985657
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-Lasso (Bradic Original),-0.5450109839439392,3.4420371055603027,0.9520000219345093,6.57419490814209
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-Lasso (Bradic),,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-RF (Bradic),,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-NN (Bradic),,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-Lasso,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-RF,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-NN,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-Lasso-Lasso,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-RF-RF,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Manual-NN-NN,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Auto-Lasso,0.527463436126709,0.5438271760940552,0.019999999552965164,0.538120448589325
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Auto-RF,-0.22147071361541748,5.115790843963623,0.9300000071525574,4.226100444793701
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,2000,500,500,0,6.574518871307373,Auto-NN,0.10637462139129639,0.3096972107887268,0.8640000224113464,1.0523583889007568
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Oracle,0.005884087178856134,0.3709163963794708,0.949999988079071,1.3027763366699219
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-Lasso (Bradic Original),-2.148641586303711,70.83761596679688,0.9800000190734863,40.87110900878906
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-Lasso (Bradic),,,0.0,
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-RF (Bradic),,,0.0,
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-NN (Bradic),,,0.0,
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-Lasso,,,0.0,
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-RF,,,0.0,
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-NN,,,0.0,
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-Lasso-Lasso,,,0.0,
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-RF-RF,,,0.0,
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Manual-NN-NN,,,0.0,
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Auto-Lasso,0.00014549422485288233,0.2557087242603302,0.9279999732971191,0.920438289642334
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Auto-RF,0.00906676147133112,0.2757137417793274,0.8220000267028809,0.7001100778579712
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,500,500,500,0,-2.0,Auto-NN,-0.37496185302734375,0.46094897389411926,0.6579999923706055,0.9792605638504028
"E[Y(1,1)]",Linear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_adv_0.1_0.9,1000,500,500,0,-2.0,Oracle,-0.004115929827094078,0.25922131538391113,0.9599999785423279,0.9683772921562195
